pid,pname,X_gcj02,Y_gcj02,X_wgs84,Y_wgs84,X_bd09,Y_bd09,city,province,comment,rankInCity,rankInChin
34950,董奉山,119.54325,25.888378,119.5388,25.8915,119.5498,25.8945,福州,福建省,1~10,319,34951
34951,海螺塔,119.618442,25.811874,119.614,25.815,119.6249,25.818,福州,福建省,1~10,320,34952
34952,商和艺术馆,119.29903,26.077437,119.2942,26.0805,119.3055,26.0836,福州,福建省,1~10,321,34953
34953,粗芦岛,119.636,26.1492,119.6315,26.1525,119.6424,26.1555,福州,福建省,1~10,322,34954
34954,博览苑,119.296727,26.082243,119.2919,26.0853,119.3032,26.0884,福州,福建省,1~10,323,34955
34955,罗源湾深海奇幻世界,119.603744,26.454171,119.5992,26.4577,119.6102,26.4601,福州,福建省,1~10,324,34956
34956,东洛岛,119.69336,25.762022,119.6889,25.765,119.7,25.7677,福州,福建省,1~10,325,34957
34957,中瑞电影艺术馆,119.296976,26.082509,119.2922,26.0856,119.3035,26.0887,福州,福建省,1~10,326,34958
34958,船政格致园,119.448539,25.99072,119.4436,25.9936,119.455,25.9964,福州,福建省,1~10,327,34959
34959,赤锡乡,118.8582,25.7724,118.8536,25.7755,118.8647,25.7781,福州,福建省,1~10,328,34960
35935,雁门书院,116.787784,25.711857,116.7831,25.7149,116.7943,25.718,龙岩,福建省,1~10,79,35936
35936,中央苏区(闽西)历史博物馆,117.024092,25.102373,117.0192,25.1051,117.0306,25.1085,龙岩,福建省,1~10,80,35937
35937,虎豹塔,116.814893,24.590964,116.8103,24.5939,116.8215,24.5966,龙岩,福建省,1~10,81,35938
35938,四堡玉沙桥,116.708459,25.891796,116.7038,25.8949,116.715,25.8975,龙岩,福建省,1~10,82,35939
35939,连南区革命委员全旧址,116.60852,25.382455,116.604,25.3855,116.615,25.3885,龙岩,福建省,1~10,83,35940
35940,闽台妈祖文化博物馆,116.980538,24.658816,116.9758,24.6617,116.987,24.665,龙岩,福建省,1~10,84,35941
35941,瞿秋白烈士纪念馆,116.348412,25.837974,116.3436,25.8409,116.355,25.8437,龙岩,福建省,1~10,85,35942
35942,客家红博物馆,116.766394,25.709891,116.7617,25.7128,116.7729,25.7162,龙岩,福建省,1~10,86,35943
35943,闽西革命烈士纪念碑,117.023482,25.100304,117.0186,25.103,117.03,25.1064,龙岩,福建省,1~10,87,35944
35944,庆福楼,116.978153,24.664015,116.9735,24.6669,116.9846,24.6701,龙岩,福建省,1~10,88,35945
35964,天阶山森林国家公园,117.501746,26.696479,117.4966,26.6999,117.5082,26.7027,三明,福建省,1~10,89,35965
35965,三元国家森林公园格氏栲景区,117.467235,26.168588,117.462,26.1717,117.4736,26.1749,三明,福建省,1~10,90,35966
35966,福建(永安)林改陈列馆,117.260591,25.8537,117.2556,25.8567,117.2671,25.8599,三明,福建省,1~10,91,35967
35967,灵隐寺,116.858447,26.332125,116.8537,26.3356,116.8648,26.3383,三明,福建省,1~10,92,35968
35968,陈氏大宗祠,117.441487,26.080368,117.4363,26.0834,117.4481,26.0862,三明,福建省,1~10,93,35969
35969,正顺庙,117.630165,26.257706,117.6253,26.2611,117.6367,26.2637,三明,福建省,1~10,94,35970
35970,动物世界标本馆,117.50146,26.696443,117.4964,26.6998,117.508,26.7026,三明,福建省,1~10,95,35971
35971,清流南山马氏宗祠,116.90548,25.942919,116.9009,25.9462,116.912,25.949,三明,福建省,1~10,96,35972
35972,龙湖,117.779107,26.419701,117.7741,26.4231,117.7857,26.4254,三明,福建省,1~10,97,35973
35973,如意湖湿地公园,117.77158,26.362098,117.7666,26.3654,117.7782,26.3678,三明,福建省,1~10,98,35974
35974,安良堡,117.581838,25.860336,117.577,25.8635,117.5883,25.8665,三明,福建省,1~10,99,35975
35975,毛泽东旧居,117.07818,26.316779,117.0731,26.3199,117.0848,26.3226,三明,福建省,1~10,100,35976
35976,贵竹林公园,117.794244,26.005316,117.7892,26.0084,117.8007,26.011,三明,福建省,1~10,101,35977
36798,武夷山艺霸名人馆,117.987201,27.662407,117.9822,27.6657,117.9937,27.6685,南平,福建省,1~10,99,36799
36799,洋口红色旅游小镇,117.89868,26.787434,117.8939,26.791,117.9053,26.7931,南平,福建省,1~10,100,36800
36800,合掌岩风景区,117.781592,26.815486,117.7765,26.8189,117.7882,26.8212,南平,福建省,1~10,101,36801
36801,闽北革命历史纪念馆,118.035501,27.757372,118.0303,27.7605,118.042,27.7631,南平,福建省,1~10,102,36802
36802,观静山植物园,117.792389,26.797529,117.7874,26.8009,117.799,26.8032,南平,福建省,1~10,103,36803
36803,建瓯通仙门,118.3308,27.032265,118.3258,27.0355,118.3372,27.0386,南平,福建省,1~10,104,36804
36804,延平湖,118.64788,26.336219,118.6433,26.3396,118.6544,26.3421,南平,福建省,1~10,105,36805
36805,乌君洲公园,117.34386,27.549492,117.3386,27.5526,117.3503,27.5557,南平,福建省,1~10,106,36806
36806,万安山,118.554225,27.991782,118.5495,27.9952,118.5607,27.9981,南平,福建省,1~10,107,36807
36807,光泽县博物馆,117.333098,27.541447,117.3278,27.5445,117.3395,27.5474,南平,福建省,1~10,108,36808
36808,闽粤王城遗址,118.05404,27.55407,118.0488,27.5572,118.0604,27.5602,南平,福建省,1~10,109,36809
36809,凯旋公园,117.513419,27.331709,117.5083,27.335,117.5199,27.3377,南平,福建省,1~10,110,36810
36810,南平洞宫山,119.142179,27.115941,119.1372,27.119,119.1487,27.1221,南平,福建省,1~10,111,36811
36811,激情广场,118.120831,27.337199,118.1156,27.3403,118.1273,27.343,南平,福建省,1~10,112,36812
36812,大洲岛,118.293213,26.571853,118.2883,26.5752,118.2997,26.5779,南平,福建省,1~10,113,36813
36813,建阳将口唐窑窑址,118.085258,27.43989,118.0801,27.4429,118.0917,27.4462,南平,福建省,1~10,114,36814
36814,松溪县博物馆,118.780225,27.521533,118.7754,27.5247,118.7867,27.5277,南平,福建省,1~10,115,36815
36815,白云禅寺,117.93004,27.649352,117.9251,27.6528,117.9365,27.6554,南平,福建省,1~10,116,36816
36816,建瓯太保庙,118.332721,27.046583,118.3277,27.0498,118.3391,27.0529,南平,福建省,1~10,117,36817
36892,吕厝保安宫,118.130422,24.494409,118.1255,24.4971,118.137,24.5001,厦门,福建省,1~10,418,36893
36893,宝珠屿,118.0709,24.537036,118.0659,24.5397,118.0773,24.5433,厦门,福建省,1~10,419,36894
36894,关帝庙,118.051524,24.561576,118.0465,24.5643,118.0579,24.5676,厦门,福建省,1~10,420,36895
36895,艾比仿生机器人体验馆,118.072487,24.445185,118.0675,24.4479,118.0789,24.4516,厦门,福建省,1~10,421,36896
36896,鹫峰堂,118.11462,24.43264,118.1096,24.4352,118.1211,24.4385,厦门,福建省,1~10,422,36897
36897,轮渡邮局,118.073523,24.455415,118.0685,24.4581,118.0799,24.4618,厦门,福建省,1~10,423,36898
36898,传世艺宫美术馆,118.091343,24.455957,118.0863,24.4586,118.0977,24.4622,厦门,福建省,1~10,424,36899
36899,中山公园纪念碑,118.091229,24.459568,118.0862,24.4622,118.0976,24.4658,厦门,福建省,1~10,425,36900
36900,环岛路烂尾楼,118.104866,24.431209,118.0999,24.4338,118.1113,24.4373,厦门,福建省,1~10,426,36901
36901,厦门市鼓浪屿风景名胜区-天主教堂,118.072789,24.443774,118.0678,24.4465,118.0792,24.4502,厦门,福建省,1~10,427,36902
36902,金汤宫,118.172702,24.510763,118.1679,24.5135,118.1793,24.5168,厦门,福建省,1~10,428,36903
36903,花展馆,118.090748,24.459066,118.0857,24.4617,118.0971,24.4654,厦门,福建省,1~10,429,36904
36904,西竺寺,118.056374,24.561683,118.0514,24.5644,118.0628,24.5678,厦门,福建省,1~10,430,36905
36905,伽蓝殿,118.068283,24.44224,118.0633,24.4449,118.0747,24.4485,厦门,福建省,1~10,431,36906
36906,龙湫亭,118.175685,24.492439,118.1709,24.4951,118.1822,24.4985,厦门,福建省,1~10,432,36907
36907,基督教两会,118.078132,24.455164,118.0731,24.4578,118.0845,24.4615,厦门,福建省,1~10,433,36908
36908,翼盒魔方,118.082102,24.453638,118.0771,24.4562,118.0885,24.4599,厦门,福建省,1~10,434,36909
36909,自贸公园,118.019236,24.469642,118.0143,24.4724,118.0257,24.4753,厦门,福建省,1~10,435,36910
36910,钟情龙头路,118.067062,24.44599,118.0621,24.4487,118.0735,24.4523,厦门,福建省,1~10,436,36911
36911,仧美术馆,118.187034,24.471271,118.1822,24.4741,118.1935,24.4776,厦门,福建省,1~10,437,36912
36912,孔庙,118.157795,24.732804,118.1529,24.7355,118.1644,24.7386,厦门,福建省,1~10,438,36913
36913,香山,118.199457,24.48186,118.1947,24.4847,118.2059,24.4883,厦门,福建省,1~10,439,36914
36914,北欧当代艺术中心,118.23482,24.53978,118.2301,24.5426,118.2413,24.5457,厦门,福建省,1~10,440,36915
